office_id,office_code,office_name,username,password
8c8374a4-e503-469e-955a-a3fb60877e27,manewada_road_so,Manewada Road S.O,man,man123
454f54d1-8a32-4b7a-8afe-e2f0d7f808fa,mankapur_so_nagpur,Mankapur S.O Nagpur,man2,man2123
1d89c725-7fd5-4779-a6e6-30b3928d0ecf,medical_nagpur,Medical College S.O Nagpur,med,med123
90624484-1f8d-4cb8-948c-4a17c20f5cb3,mhalginagar_so,Mhalginagar S.O,mha,mha123
4b133196-ee04-4866-871b-7a190c4df7e8,mohan_nagpur,Mohan Nagar S.O Nagpur,moh,moh123
172254d3-87d6-4d9f-a854-5f706b23d054,mominpura_so,Mominpura S.O,mom,mom123
cf2e56fe-2143-4ef0-9b8c-139205a9b9d3,nagpur_airport_so,Nagpur Airport S.O,nag,nag123
59ec373b-53db-4dc9-bb48-d981dcdff24f,nagpur_city_ho,Nagpur City H.O,nag2,nag2123
c65bf076-16bd-4a7e-8435-68ace36f40a1,nagpur_gpo,Nagpur GPO,nag3,nag3123
63e77ebe-a204-439e-913d-7b75859357dd,nandanvan_colony_so,Nandanvan Colony S.O,nan,nan123
e92b1fb0-ce0b-4015-bf7c-2bcf20bc95cf,narendra_nagpur,Narendra Nagar S.O Nagpur,nar,nar123
14446ff3-9c7f-48c7-b0de-3da9cf3c6b73,nayapura_so,Nayapura S.O,nay,nay123
bd2195ce-7305-44ed-8041-935490ccf1c8,neeri_so,Neeri S.O,nee,nee123
d89fbb0b-fd48-4a26-8f06-630570469fa7,panchsheel_nagar_so,Panchsheel Nagar S.O,pan,pan123
373da4e9-3ad9-4fb9-a154-2298e032b0f4,parvati_nagar_so,Parvati Nagar S.O,par,par123
d2428bb9-aa71-4754-a251-c7e8a3b45867,patwardhan_ground_so,Patwardhan Ground S.O,pat,pat123
acf47813-ca18-40da-8a4b-0cd5131724a6,raje_raghujinagar_so,Raje Raghujinagar S.O,raj,raj123
c6459d8f-8d01-425b-a5ac-73e7e7ef1ffb,ranapratap_nagar_so,Ranapratap Nagar S.O,ran,ran123
a212a903-d21e-4098-92e6-61a5a01ef0aa,ravi_nagar_so,Ravi Nagar S.O,rav,rav123
14923479-9aaa-4630-a44e-ca52a82782b5,sadar_nagpur,Sadar Bazar S.O Nagpur,sad,sad123
bc394528-d96b-4bef-83e3-4ead3372f64d,samartha_nagar_so,Samartha Nagar S.O,sam,sam123
00249629-ebc2-4b07-a234-dc5e75309588,seminary_hills_so,Seminary Hills S.O,sem,sem123
b52f8a8e-bcaa-4207-9939-4527775d94c9,shankar_nagar_so,Shankar Nagar S.O,sha,sha123
78cf3176-6b1e-4a73-9d9f-f8e8b0fcaea1,shradhananpeth_so,Shradhananpeth S.O,shr,shr123
04db1ce3-e0fb-4941-b423-1f91205a05fe,sitabuldi_so,Sitabuldi S.O,sit,sit123
304fbaac-70d9-4a97-857a-0a47b1a16c52,srpf_so,SRPF S.O,srp,srp123
2385d54c-7b42-4cd8-add2-780cf2496508,trimurti_nagar_so,Trimurti Nagar S.O,tri,tri123
7edd7cd6-6a30-4233-8605-f4f5b5306531,ujwal_nagpur,Ujwal Nagar S.O Nagpur,ujw,ujw123
c6cf11ec-1dd2-4ee9-a9fa-589fded7c30f,universi_nagpur,University Campus S.O Nagpur,uni,uni123
c9b03a84-761f-46c1-aaa4-4d446a3063be,uppalwadi_so,Uppalwadi S.O,upp,upp123
04788ed5-7593-4598-ac0e-9630ed9824ae,v_r_c_e_so,V R C E S.O,v,v123
e5c90900-65fd-451f-905a-519e48d9f4a9,vayusena_nagar_so,Vayusena Nagar S.O,vay,vay123
cbae052a-17fe-49a4-8a2a-9ec6da300178,vivekanand_nagar_so,Vivekanand Nagar S.O,viv,viv123
b38d0c8a-2d84-43f3-8e34-9c6e225311a9,wathoda_so,Wathoda S.O,wat,wat123
b5115a62-d7eb-4f51-ae0b-31b295dd6a1e,zingabai_office,Zingabai Takli Post Office,zin,zin123
